Entity,Code,Year,Censorship of LGBT+ issues (historical)
Afghanistan,AFG,2021,Imprisonment as punishment
Afghanistan,AFG,2022,Imprisonment as punishment
Afghanistan,AFG,2023,Imprisonment as punishment
Afghanistan,AFG,2024,Imprisonment as punishment
Afghanistan,AFG,2025,Imprisonment as punishment
Albania,ALB,2025,No censorship
Algeria,DZA,1982,Imprisonment as punishment
Algeria,DZA,1983,Imprisonment as punishment
Algeria,DZA,1984,Imprisonment as punishment
Algeria,DZA,1985,Imprisonment as punishment
Algeria,DZA,1986,Imprisonment as punishment
Algeria,DZA,1987,Imprisonment as punishment
Algeria,DZA,1988,Imprisonment as punishment
Algeria,DZA,1989,Imprisonment as punishment
Algeria,DZA,1990,Imprisonment as punishment
Algeria,DZA,1991,Imprisonment as punishment
Algeria,DZA,1992,Imprisonment as punishment
Algeria,DZA,1993,Imprisonment as punishment
Algeria,DZA,1994,Imprisonment as punishment
Algeria,DZA,1995,Imprisonment as punishment
Algeria,DZA,1996,Imprisonment as punishment
Algeria,DZA,1997,Imprisonment as punishment
Algeria,DZA,1998,Imprisonment as punishment
Algeria,DZA,1999,Imprisonment as punishment
Algeria,DZA,2000,Imprisonment as punishment
Algeria,DZA,2001,Imprisonment as punishment
Algeria,DZA,2002,Imprisonment as punishment
Algeria,DZA,2003,Imprisonment as punishment
Algeria,DZA,2004,Imprisonment as punishment
Algeria,DZA,2005,Imprisonment as punishment
Algeria,DZA,2006,Imprisonment as punishment
Algeria,DZA,2007,Imprisonment as punishment
Algeria,DZA,2008,Imprisonment as punishment
Algeria,DZA,2009,Imprisonment as punishment
Algeria,DZA,2010,Imprisonment as punishment
Algeria,DZA,2011,Imprisonment as punishment
Algeria,DZA,2012,Imprisonment as punishment
Algeria,DZA,2013,Imprisonment as punishment
Algeria,DZA,2014,Imprisonment as punishment
Algeria,DZA,2015,Imprisonment as punishment
Algeria,DZA,2016,Imprisonment as punishment
Algeria,DZA,2017,Imprisonment as punishment
Algeria,DZA,2018,Imprisonment as punishment
Algeria,DZA,2019,Imprisonment as punishment
Algeria,DZA,2020,Imprisonment as punishment
Algeria,DZA,2021,Imprisonment as punishment
Algeria,DZA,2022,Imprisonment as punishment
