Entity,Code,Year,Gender-affirming care (historical)
Afghanistan,AFG,2022,Banned
Afghanistan,AFG,2023,Banned
Afghanistan,AFG,2024,Banned
Afghanistan,AFG,2025,Banned
Albania,ALB,2025,Banned
Algeria,DZA,2025,Banned
Andorra,AND,1996,Restricted
Andorra,AND,1997,Restricted
Andorra,AND,1998,Restricted
Andorra,AND,1999,Restricted
Andorra,AND,2000,Restricted
Andorra,AND,2001,Restricted
Andorra,AND,2002,Restricted
Andorra,AND,2003,Restricted
Andorra,AND,2004,Restricted
Andorra,AND,2005,Restricted
Andorra,AND,2006,Restricted
Andorra,AND,2007,Restricted
Andorra,AND,2008,Restricted
Andorra,AND,2009,Restricted
Andorra,AND,2010,Restricted
Andorra,AND,2011,Legal
Andorra,AND,2012,Legal
Andorra,AND,2013,Legal
Andorra,AND,2014,Legal
Andorra,AND,2015,Legal
Andorra,AND,2016,Legal
Andorra,AND,2017,Legal
Andorra,AND,2018,Legal
Andorra,AND,2019,Legal
Andorra,AND,2020,Legal
Andorra,AND,2021,Legal
Andorra,AND,2022,Legal
Andorra,AND,2023,Legal
Andorra,AND,2024,Legal
Andorra,AND,2025,Legal
Angola,AGO,2015,Restricted
Angola,AGO,2016,Restricted
Angola,AGO,2017,Restricted
Angola,AGO,2018,Restricted
Angola,AGO,2019,Restricted
Angola,AGO,2020,Restricted
Angola,AGO,2021,Restricted
Angola,AGO,2022,Restricted
Angola,AGO,2023,Restricted
Angola,AGO,2024,Restricted
Angola,AGO,2025,Restricted
Antigua and Barbuda,ATG,2025,Restricted
Argentina,ARG,2006,Ambiguous
Argentina,ARG,2007,Ambiguous
Argentina,ARG,2008,Ambiguous
Argentina,ARG,2009,Ambiguous
Argentina,ARG,2010,Ambiguous
Argentina,ARG,2011,Ambiguous
Argentina,ARG,2012,Legal
Argentina,ARG,2013,Legal
Argentina,ARG,2014,Legal
Argentina,ARG,2015,Legal
Argentina,ARG,2016,Legal
Argentina,ARG,2017,Legal
Argentina,ARG,2018,Legal
Argentina,ARG,2019,Legal
Argentina,ARG,2020,Legal
Argentina,ARG,2021,Legal
Argentina,ARG,2022,Legal
Argentina,ARG,2023,Legal
Argentina,ARG,2024,Legal
Argentina,ARG,2025,"Legal, but banned for minors"
Armenia,ARM,1983,"Legal, but restricted for minors"
Armenia,ARM,1984,"Legal, but restricted for minors"
Armenia,ARM,1985,"Legal, but restricted for minors"
Armenia,ARM,1986,"Legal, but restricted for minors"
Armenia,ARM,1987,"Legal, but restricted for minors"
Armenia,ARM,1988,"Legal, but restricted for minors"
Armenia,ARM,1989,"Legal, but restricted for minors"
Armenia,ARM,1990,"Legal, but restricted for minors"
Armenia,ARM,1991,"Legal, but restricted for minors"
Armenia,ARM,1992,"Legal, but restricted for minors"
Armenia,ARM,1993,"Legal, but restricted for minors"
Armenia,ARM,1994,"Legal, but restricted for minors"
Armenia,ARM,1995,"Legal, but restricted for minors"
Armenia,ARM,1996,"Legal, but restricted for minors"
Armenia,ARM,1997,"Legal, but restricted for minors"
Armenia,ARM,1998,"Legal, but restricted for minors"
Armenia,ARM,1999,"Legal, but restricted for minors"
Armenia,ARM,2000,"Legal, but restricted for minors"
Armenia,ARM,2001,"Legal, but restricted for minors"
Armenia,ARM,2002,"Legal, but restricted for minors"
Armenia,ARM,2003,"Legal, but restricted for minors"
Armenia,ARM,2004,"Legal, but restricted for minors"
Armenia,ARM,2005,"Legal, but restricted for minors"
Armenia,ARM,2006,Banned
Armenia,ARM,2007,Banned
Armenia,ARM,2008,Banned
Armenia,ARM,2009,Banned
Armenia,ARM,2010,Banned
Armenia,ARM,2011,Banned
Armenia,ARM,2012,Banned
Armenia,ARM,2013,Banned
Armenia,ARM,2014,Banned
Armenia,ARM,2015,Banned
Armenia,ARM,2016,Banned
Armenia,ARM,2017,Banned
Armenia,ARM,2018,Banned
Armenia,ARM,2019,Banned
Armenia,ARM,2020,Banned
Armenia,ARM,2021,Banned
Armenia,ARM,2022,Banned
Armenia,ARM,2023,Banned
Armenia,ARM,2024,Banned
Armenia,ARM,2025,Banned
Australia,AUS,1977,Restricted
Australia,AUS,1978,Restricted
Australia,AUS,1979,Restricted
Australia,AUS,1980,Restricted
Australia,AUS,1981,Restricted
Australia,AUS,1982,Restricted
Australia,AUS,1983,Restricted
Australia,AUS,1984,Restricted
Australia,AUS,1985,Restricted
Australia,AUS,1986,Restricted
Australia,AUS,1987,Restricted
Australia,AUS,1988,Restricted
Australia,AUS,1989,Restricted
Australia,AUS,1990,Restricted
Australia,AUS,1991,Legal
Australia,AUS,1992,Legal
Australia,AUS,1993,Legal
Australia,AUS,1994,Legal
Australia,AUS,1995,Legal
Australia,AUS,1996,Legal
Australia,AUS,1997,Legal
Australia,AUS,1998,Legal
Australia,AUS,1999,Legal
Australia,AUS,2000,Legal
Australia,AUS,2001,Legal
Australia,AUS,2002,Legal
Australia,AUS,2003,Legal
Australia,AUS,2004,Legal
Australia,AUS,2005,Legal
Australia,AUS,2006,Legal
Australia,AUS,2007,Legal
Australia,AUS,2008,Legal
Australia,AUS,2009,Legal
Australia,AUS,2010,Legal
Australia,AUS,2011,Legal
Australia,AUS,2012,Legal
Australia,AUS,2013,Legal
Australia,AUS,2014,Legal
Australia,AUS,2015,Legal
Australia,AUS,2016,Legal
Australia,AUS,2017,Legal
Australia,AUS,2018,Legal
Australia,AUS,2019,Legal
Australia,AUS,2020,Legal
Australia,AUS,2021,Legal
Australia,AUS,2022,Legal
Australia,AUS,2023,Legal
Australia,AUS,2024,Legal
Australia,AUS,2025,Varies by region
Austria,AUT,1974,Restricted
Austria,AUT,1975,Restricted
Austria,AUT,1976,Restricted
Austria,AUT,1977,Restricted
Austria,AUT,1978,Restricted
Austria,AUT,1979,Restricted
Austria,AUT,1980,Legal
Austria,AUT,1981,Legal
Austria,AUT,1982,Legal
Austria,AUT,1983,Legal
Austria,AUT,1984,Legal
Austria,AUT,1985,Legal
Austria,AUT,1986,Legal
Austria,AUT,1987,Legal
Austria,AUT,1988,Legal
Austria,AUT,1989,Legal
Austria,AUT,1990,Legal
Austria,AUT,1991,Legal
Austria,AUT,1992,Legal
Austria,AUT,1993,Legal
Austria,AUT,1994,Legal
Austria,AUT,1995,Legal
Austria,AUT,1996,Legal
Austria,AUT,1997,Legal
Austria,AUT,1998,Legal
Austria,AUT,1999,Legal
Austria,AUT,2000,Legal
Austria,AUT,2001,Legal
Austria,AUT,2002,Legal
Austria,AUT,2003,Legal
Austria,AUT,2004,Legal
Austria,AUT,2005,Legal
Austria,AUT,2006,Legal
Austria,AUT,2007,Legal
Austria,AUT,2008,Legal
Austria,AUT,2009,Legal
Austria,AUT,2010,Legal
Austria,AUT,2011,Legal
Austria,AUT,2012,Legal
Austria,AUT,2013,Legal
Austria,AUT,2014,Legal
Austria,AUT,2015,Legal
Austria,AUT,2016,Legal
Austria,AUT,2017,Legal
Austria,AUT,2018,Legal
Austria,AUT,2019,Legal
Austria,AUT,2020,Legal
Austria,AUT,2021,Legal
Austria,AUT,2022,Legal
Austria,AUT,2023,Legal
Austria,AUT,2024,Legal
Austria,AUT,2025,Legal
Azerbaijan,AZE,2025,Banned
Bahamas,BHS,2025,Legal
Bahrain,BHR,2025,Banned
Bangladesh,BGD,1969,Restricted
Bangladesh,BGD,1970,Restricted
Bangladesh,BGD,1971,Restricted
Bangladesh,BGD,1972,Restricted
Bangladesh,BGD,1973,Restricted
