Entity,Code,Year,Right to change legal gender (historical)
Afghanistan,AFG,2025,Illegal
Albania,ALB,2025,Illegal
Algeria,DZA,2025,Illegal
Andorra,AND,2018,"Legal, surgery required"
Andorra,AND,2019,"Legal, surgery required"
Andorra,AND,2020,"Legal, surgery required"
Andorra,AND,2021,"Legal, surgery required"
Andorra,AND,2022,"Legal, surgery required"
Andorra,AND,2023,"Legal, no restrictions"
Andorra,AND,2024,"Legal, no restrictions"
Andorra,AND,2025,"Legal, no restrictions"
Angola,AGO,2025,Illegal
Antigua and Barbuda,ATG,2025,Illegal
Argentina,ARG,2012,"Legal, no restrictions"
Argentina,ARG,2013,"Legal, no restrictions"
Argentina,ARG,2014,"Legal, no restrictions"
Argentina,ARG,2015,"Legal, no restrictions"
Argentina,ARG,2016,"Legal, no restrictions"
Argentina,ARG,2017,"Legal, no restrictions"
Argentina,ARG,2018,"Legal, no restrictions"
Argentina,ARG,2019,"Legal, no restrictions"
Argentina,ARG,2020,"Legal, no restrictions"
Argentina,ARG,2021,"Legal, no restrictions"
Argentina,ARG,2022,"Legal, no restrictions"
Argentina,ARG,2023,"Legal, no restrictions"
Argentina,ARG,2024,"Legal, no restrictions"
Argentina,ARG,2025,"Legal, no restrictions"
Armenia,ARM,1972,"Legal, surgery required"
Armenia,ARM,1973,"Legal, surgery required"
Armenia,ARM,1974,"Legal, surgery required"
Armenia,ARM,1975,"Legal, surgery required"
Armenia,ARM,1976,"Legal, surgery required"
Armenia,ARM,1977,"Legal, surgery required"
Armenia,ARM,1978,"Legal, surgery required"
Armenia,ARM,1979,"Legal, surgery required"
Armenia,ARM,1980,"Legal, surgery required"
Armenia,ARM,1981,"Legal, surgery required"
Armenia,ARM,1982,"Legal, surgery required"
Armenia,ARM,1983,"Legal, surgery required"
Armenia,ARM,1984,"Legal, surgery required"
Armenia,ARM,1985,"Legal, surgery required"
Armenia,ARM,1986,"Legal, surgery required"
Armenia,ARM,1987,"Legal, surgery required"
Armenia,ARM,1988,"Legal, surgery required"
Armenia,ARM,1989,"Legal, surgery required"
Armenia,ARM,1990,"Legal, surgery required"
Armenia,ARM,1991,"Legal, surgery required"
Armenia,ARM,1992,"Legal, surgery required"
Armenia,ARM,1993,"Legal, surgery required"
Armenia,ARM,1994,"Legal, surgery required"
Armenia,ARM,1995,"Legal, surgery required"
Armenia,ARM,1996,"Legal, surgery required"
Armenia,ARM,1997,"Legal, surgery required"
Armenia,ARM,1998,"Legal, surgery required"
Armenia,ARM,1999,"Legal, surgery required"
Armenia,ARM,2000,"Legal, surgery required"
Armenia,ARM,2001,"Legal, surgery required"
Armenia,ARM,2002,"Legal, surgery required"
Armenia,ARM,2003,"Legal, surgery required"
Armenia,ARM,2004,"Legal, surgery required"
Armenia,ARM,2005,"Legal, surgery required"
Armenia,ARM,2006,"Legal, surgery required"
Armenia,ARM,2007,"Legal, surgery required"
Armenia,ARM,2008,"Legal, surgery required"
Armenia,ARM,2009,"Legal, surgery required"
Armenia,ARM,2010,"Legal, surgery required"
Armenia,ARM,2011,"Legal, surgery required"
Armenia,ARM,2012,"Legal, surgery required"
Armenia,ARM,2013,"Legal, surgery required"
Armenia,ARM,2014,"Legal, surgery required"
Armenia,ARM,2015,"Legal, surgery required"
Armenia,ARM,2016,"Legal, surgery required"
Armenia,ARM,2017,"Legal, surgery required"
Armenia,ARM,2018,"Legal, surgery required"
Armenia,ARM,2019,"Legal, surgery required"
Armenia,ARM,2020,"Legal, surgery required"
