company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
3M,United States,North America,Chemicals,Public,2023,11.3,22,1,0,0,0.0,0,0.0,0,0,0,0,1,1,0,0.0,0,2,0,1.0,2,1.0,0.0
Asos,United Kingdom,Europe & Central Asia,Apparel & Footwear,Public,2023,16.9,32,1,0,0,2.0,0,0.0,3,1,0,0,1,0,0,0.0,1,1,2,0.5,2,0.5,0.0
A.P. Moller - Maersk,Denmark,Europe & Central Asia,Freight & logistics,Public,2024,10.9,21,1,1,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,1.0,2,1.0,0.0
ABB,Switzerland,Europe & Central Asia,Capital Goods,Public,2023,12.8,25,1,1,1,2.0,0,0.0,0,1,0,0,0,0,0,1.0,0,0,0,1.0,2,1.0,0.0
AbbVie,United States,North America,Pharmaceuticals & Biotechnology,Public,2023,15.4,30,1,0,0,2.0,0,0.0,2,1,0,0,0,1,0,0.0,2,1,0,1.0,2,1.0,0.0
Abercrombie & Fitch,United States,North America,Apparel & Footwear,Public,2023,10.0,19,0,1,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,1.0,2,1.0,0.0
ABN AMRO,Netherlands,Europe & Central Asia,Banks,Public,2024,12.3,24,1,1,1,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,2,0,0.5,1,1.0,0.0
Absa Group,South Africa,Sub-Saharan Africa,Banks,Public,2024,13.1,25,1,0,0,2.0,0,0.0,2,1,2,0,0,2,0,0.0,1,2,0,0.0,0,1.0,0.0
ADIA,United Arab Emirates,Middle East & North Africa,Sovereign Wealth Funds,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
ADNOC,United Arab Emirates,Middle East & North Africa,Oil & Gas,Government,2023,9.4,18,1,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,0,0,1.0,1,1.0,0.0
ACCIONA,Spain,Europe & Central Asia,Construction & Engineering,Public,2024,16.5,32,1,0,1,0.0,0,0.0,0,2,1,0,0,0,2,2.0,2,0,0,1.0,2,1.0,0.0
Acea,Italy,Europe & Central Asia,Utilities,Public,2024,18.0,34,0,0,0,2.0,0,0.0,1,0,3,0,0,0,0,0.0,2,1,0,2.5,2,1.0,0.0
AGD Group,Argentina,Latin America & Caribbean,Food Production,Private,2023,3.6,7,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,0,0.0,0.0
Acer,"Taiwan, China",East Asia & Pacific,Electronics,Public,2023,17.3,33,0,0,0,1.0,0,0.0,0,0,1,0,0,0,2,1.0,2,1,0,2.0,2,1.0,0.0
Achmea,Netherlands,Europe & Central Asia,Insurance,Private,2024,14.9,28,1,1,0,2.0,0,0.0,1,1,0,0,0,0,0,0.0,0,2,0,1.5,2,1.0,0.0
ACS Group,Spain,Europe & Central Asia,Real Estate,Public,2024,9.8,19,0,1,0,1.0,0,0.0,0,0,1,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
Adidas,Germany,Europe & Central Asia,Apparel & Footwear,Public,2023,17.8,34,1,0,0,2.0,1,1.0,1,1,0,0,0,0,0,0.0,2,2,1,1.0,2,1.0,0.0
Adobe,United States,North America,IT Software & Services,Public,2023,16.5,32,1,1,0,2.0,0,0.0,0,2,0,0,0,1,0,0.0,1,1,0,1.5,2,1.0,0.0
AIS,Thailand,East Asia & Pacific,Telecommunications,Public,2023,12.0,23,0,0,2,0.0,0,0.0,1,0,1,0,0,0,0,1.0,0,1,0,1.0,2,1.0,0.0
AMD,United States,North America,Electronics,Public,2023,11.2,22,0,0,0,2.0,0,1.0,0,0,1,0,0,0,0,0.0,1,0,0,1.0,2,1.0,0.0
Advent International,United States,North America,Alternative Asset Managers,Private,2024,5.3,10,0,0,0,0.0,0,0.0,0,1,1,0,0,0,0,0.0,1,1,0,0.5,0,0.0,0.0
AECOM,United States,North America,Construction & Engineering,Public,2024,9.5,18,0,0,0,1.5,0,0.0,1,0,0,0,0,1,0,0.0,1,2,0,1.0,0,1.0,0.0
Aegon,Netherlands,Europe & Central Asia,Insurance,Public,2024,11.8,23,0,1,0,2.0,0,0.0,1,1,0,0,0,0,0,0.0,1,1,0,1.0,2,1.0,0.0
Aeon,Japan,East Asia & Pacific,Food Retailers,Public,2023,9.1,17,0,1,0,0.0,0,1.0,0,2,0,0,0,0,0,0.0,2,0,0,0.0,1,1.0,0.0
Aeroflot,Russian Federation,Europe & Central Asia,Passenger Transport,Public,2024,1.3,2,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1.0,0,0,0,0.0,0,0.0,0.0
AES,United States,North America,Utilities,Public,2023,8.3,16,0,1,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,1,0,0,0.0,2,1.0,0.0
AMG,United States,North America,Traditional Asset Managers,Public,2024,3.5,7,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0.0
Agirc-Arrco,France,Europe & Central Asia,Pension Funds,Government,2024,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
AGL Energy,Australia,East Asia & Pacific,Utilities,Public,2023,16.5,32,1,1,0,2.0,0,0.0,2,1,2,0,0,0,0,3.0,1,2,0,1.0,1,1.0,0.0
AGP,United States,North America,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Agricultural Bank of China,China,East Asia & Pacific,Banks,Government,2024,0.7,1,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Agrifirm,Netherlands,Europe & Central Asia,Food Production,Private,2023,2.9,6,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,0.0,0,0.0,0.0
Agropur,Canada,North America,Food Production,Private,2023,1.8,3,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
Ahold Delhaize,Netherlands,Europe & Central Asia,Food Retailers,Public,2023,16.0,31,1,0,0,2.0,0,0.0,2,1,0,0,1,1,0,0.0,0,2,0,1.5,1,1.0,0.0
AIA,"Hong Kong SAR, China",East Asia & Pacific,Insurance,Public,2024,8.7,17,0,0,0,2.0,0,0.0,1,0,0,0,0,0,0,0.0,0,2,0,1.0,1,1.0,0.0
China National Aviation Holding Corporation,China,East Asia & Pacific,Passenger Transport,Government,2024,2.9,6,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
Air France-KLM,France,Europe & Central Asia,Passenger Transport,Public,2024,8.6,16,0,1,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,1,1,0,0.5,1,1.0,0.0
Air Liquide,France,Europe & Central Asia,Chemicals,Public,2023,14.3,27,0,1,1,2.0,0,0.0,1,1,0,0,0,0,0,1.0,1,2,0,1.0,2,1.0,0.0
Air Products and Chemicals,United States,North America,Chemicals,Public,2023,9.1,17,0,0,0,2.0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1.0,1,1.0,0.0
Airbnb,United States,North America,Real Estate,Public,2023,10.7,20,0,1,0,2.0,0,0.0,1,1,0,0,0,1,0,0.0,1,1,0,1.0,0,1.0,0.0
Airbus,France,Europe & Central Asia,Capital Goods,Public,2024,12.7,24,1,1,0,2.0,0,0.0,0,2,0,0,0,0,0,0.0,1,2,0,1.0,1,1.0,0.0
Ajinomoto Group,Japan,East Asia & Pacific,Food Production,Public,2023,11.2,21,1,1,0,1.0,0,0.5,0,2,1,0,0,0,0,0.0,1,0,0,1.0,1,0.5,0.0
Akamai,United States,North America,Telecommunications,Public,2023,13.5,26,0,0,0,2.0,0,0.0,0,2,1,0,0,0,0,0.0,0,2,0,2.0,0,1.0,0.0
AkzoNobel,Netherlands,Europe & Central Asia,Chemicals,Public,2023,8.1,16,1,0,0,2.0,0,0.0,1,0,1,0,0,0,1,0.0,0,0,0,0.0,1,1.0,0.0
Alaska Air Group,United States,North America,Passenger Transport,Public,2024,9.3,18,0,0,0,2.0,0,0.0,1,0,0,0,0,1,0,0.0,0,1,0,1.0,1,1.0,0.0
