id,wave,subject_age,subject_education,subject_gender,subject_ethnicity,subject_income_category,subject_employment_status,same_sex_couple,married,sex_frequency,flirts_with_partner,fights_with_partner,relationship_duration,children,rel_change_during_pandemic,inc_change_during_pandemic,subject_had_covid,partner_had_covid,subject_vaccinated,partner_vaccinated,agree_covid_approach,relationship_quality
53001,2022,53.0,high_school_grad,female,white,35k_40k,working_paid_employee,no,not_married,once_or_twice_a_week,a_few_times_a_week,0_times,1.5,2.0,better_than_before,no_change,no,yes,not_vaccinated,not_vaccinated,completely_agree,excellent
71609,2022,72.0,some_college,female,white,75k_85k,working_paid_employee,no,married,once_a_month_or_less,never,7_or_more_times,57.4166679382324,1.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
106983,2022,43.0,associate_degree,male,white,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,2_times,22.3333339691162,5.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
164061,2022,64.0,some_college,male,white,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,1_to_3_times_a_month,0_times,28.25,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
212249,2022,60.0,high_school_grad,female,black,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,0_times,38.9166679382324,3.0,better_than_before,no_change,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
214227,2022,78.0,high_school_grad,female,white,50k_60k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,1_time,28.4166660308838,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
218351,2022,51.0,associate_degree,male,white,40k_50k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,1_time,25.75,3.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
220655,2022,47.0,associate_degree,male,2_plus_eth,30k_35k,working_paid_employee,no,married,2_to_3_times_a_month,less_than_once_a_month,1_time,21.0833339691162,2.0,no_change,worse,no,yes,fully_vaccinated_and_booster,partially_vaccinated,mostly_agree,poor
291177,2022,62.0,some_college,female,white,40k_50k,not_working_retired,no,not_married,once_or_twice_a_week,never,0_times,8.08333301544189,2.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
369975,2022,59.0,high_school_grad,female,black,40k_50k,not_working_looking,no,married,once_a_month_or_less,once_a_week,0_times,34.5,2.0,no_change,worse,no,no,not_vaccinated,fully_vaccinated_and_booster,completely_agree,good
