subject_age,subject_education,subject_sex,subject_ethnicity,subject_income_category,subject_employment_status,same_sex_couple,married,sex_frequency,flirts_with_partner,fights_with_partner,relationship_duration,children,rel_change_during_pandemic,inc_change_during_pandemic,subject_had_covid,partner_had_covid,subject_vaccinated,partner_vaccinated,agree_covid_approach,relationship_quality
53.0,high_school_grad,female,white,35k_40k,working_paid_employee,no,not_married,once_or_twice_a_week,a_few_times_a_week,0_times,1.5,2.0,better_than_before,no_change,no,yes,not_vaccinated,not_vaccinated,completely_agree,excellent
72.0,some_college,female,white,75k_85k,working_paid_employee,no,married,once_a_month_or_less,never,7_or_more_times,57.4166679382324,1.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
43.0,associate_degree,male,white,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,2_times,22.3333339691162,5.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
64.0,some_college,male,white,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,1_to_3_times_a_month,0_times,28.25,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
60.0,high_school_grad,female,black,75k_85k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,0_times,38.9166679382324,3.0,better_than_before,no_change,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
78.0,high_school_grad,female,white,50k_60k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,1_time,28.4166660308838,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
51.0,associate_degree,male,white,40k_50k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,1_time,25.75,3.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
47.0,associate_degree,male,2_plus_eth,30k_35k,working_paid_employee,no,married,2_to_3_times_a_month,less_than_once_a_month,1_time,21.0833339691162,2.0,no_change,worse,no,yes,fully_vaccinated_and_booster,partially_vaccinated,mostly_agree,poor
62.0,some_college,female,white,40k_50k,not_working_retired,no,not_married,once_or_twice_a_week,never,0_times,8.08333301544189,2.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
59.0,high_school_grad,female,black,40k_50k,not_working_looking,no,married,once_a_month_or_less,once_a_week,0_times,34.5,2.0,no_change,worse,no,no,not_vaccinated,fully_vaccinated_and_booster,completely_agree,good
66.0,some_college,female,other,150k_175k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,33.5833320617676,2.0,better_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
63.0,associate_degree,male,white,85k_100k,working_paid_employee,no,married,once_a_month_or_less,less_than_once_a_month,1_time,31.5,2.0,no_change,worse,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
85.0,some_college,female,white,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,67.5833358764648,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
48.0,bach_degree,female,white,175k_200k,working_paid_employee,no,married,,never,1_time,29.0833339691162,2.0,better_than_before,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
75.0,some_college,female,white,35k_40k,not_working_retired,no,married,2_to_3_times_a_month,never,0_times,52.75,1.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
58.0,masters_degree,female,white,75k_85k,not_working_other,no,married,once_a_month_or_less,less_than_once_a_month,1_time,22.4166660308838,4.0,better_than_before,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
56.0,bach_degree,male,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,,2.0,no_change,no_change,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
51.0,prof_doct_degree,female,white,85k_100k,working_paid_employee,no,not_married,once_or_twice_a_week,never,2_times,0.583333313465118,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
45.0,masters_degree,male,white,200k_250k,working_paid_employee,no,married,once_or_twice_a_week,less_than_once_a_month,1_time,22.75,5.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,poor
41.0,some_college,female,white,100k_125k,working_paid_employee,no,married,3_to_6_times_a_week,every_day,1_time,15.5833330154419,3.0,better_than_before,no_change,yes,yes,not_vaccinated,partially_vaccinated,completely_agree,excellent
66.0,high_school_grad,female,white,35k_40k,not_working_retired,no,married,once_a_month_or_less,never,0_times,33.5,2.0,no_change,much_worse,yes,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
51.0,bach_degree,female,white,100k_125k,working_paid_employee,no,married,once_or_twice_a_week,1_to_3_times_a_month,0_times,28.4166660308838,5.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
54.0,prof_doct_degree,male,white,over_250k,working_self_employed,no,married,once_a_month_or_less,never,0_times,27.4166660308838,2.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,very_poor
43.0,associate_degree,male,white,85k_100k,not_working_other,no,married,once_a_month_or_less,less_than_once_a_month,0_times,10.5833330154419,4.0,no_change,better,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
40.0,masters_degree,male,white,125k_150k,working_paid_employee,no,married,2_to_3_times_a_month,a_few_times_a_week,0_times,10.3333330154419,6.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
48.0,high_school_grad,female,white,150k_175k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,1_time,24.25,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
72.0,associate_degree,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,2_times,57.3333320617676,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
64.0,high_school_grad,female,hispanic,75k_85k,not_working_retired,no,married,,never,,44.1666679382324,2.0,better_than_before,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,excellent
73.0,high_school_grad,female,white,200k_250k,not_working_retired,no,married,once_a_month_or_less,never,0_times,53.75,3.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
60.0,masters_degree,female,white,125k_150k,working_self_employed,no,married,3_to_6_times_a_week,1_to_3_times_a_month,0_times,11.0833330154419,3.0,no_change,better,no,no,not_vaccinated,partially_vaccinated,completely_agree,excellent
50.0,bach_degree,male,other,over_250k,working_paid_employee,no,not_married,once_or_more_a_day,never,0_times,50.25,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,not_vaccinated,completely_disagree,excellent
66.0,high_school_grad,female,white,75k_85k,not_working_other,no,married,once_a_month_or_less,never,4_times,41.25,3.0,worse_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
70.0,high_school_grad,male,hispanic,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_no_booster,mostly_agree,fair
43.0,bach_degree,female,white,50k_60k,working_paid_employee,no,married,once_a_month_or_less,never,1_time,18.0,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
65.0,prof_doct_degree,male,white,100k_125k,not_working_retired,no,married,2_to_3_times_a_month,never,1_time,39.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
71.0,bach_degree,male,white,85k_100k,not_working_retired,no,married,once_or_twice_a_week,never,0_times,50.0,2.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,mostly_agree,excellent
69.0,bach_degree,female,2_plus_eth,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,2_times,44.6666679382324,2.0,no_change,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
64.0,bach_degree,male,white,125k_150k,not_working_retired,no,married,once_or_twice_a_week,never,2_times,47.25,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
75.0,masters_degree,female,white,60k_75k,working_self_employed,no,married,once_a_month_or_less,never,3_times,42.8333320617676,3.0,worse_than_before,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,good
65.0,high_school_grad,female,white,125k_150k,not_working_retired,no,married,once_a_month_or_less,a_few_times_a_week,2_times,45.0,2.0,better_than_before,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
60.0,bach_degree,female,white,40k_50k,working_paid_employee,no,not_married,once_or_twice_a_week,never,0_times,0.333333343267441,1.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
62.0,high_school_grad,female,white,60k_75k,working_paid_employee,no,married,3_to_6_times_a_week,a_few_times_a_week,0_times,43.75,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
39.0,bach_degree,female,white,75k_85k,working_paid_employee,no,married,once_a_month_or_less,once_a_week,3_times,12.8333330154419,4.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,excellent
62.0,high_school_grad,female,white,100k_125k,not_working_disabled,no,married,once_a_month_or_less,never,1_time,34.9166679382324,3.0,no_change,no_change,no,no,not_vaccinated,fully_vaccinated_and_booster,mostly_agree,good
78.0,high_school_grad,female,white,85k_100k,not_working_retired,no,married,once_a_month_or_less,never,0_times,62.5,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
34.0,bach_degree,female,white,125k_150k,working_paid_employee,no,married,once_a_month_or_less,1_to_3_times_a_month,0_times,9.83333301544189,4.0,better_than_before,no_change,yes,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
70.0,some_college,female,white,40k_50k,not_working_retired,no,married,once_a_month_or_less,never,0_times,41.4166679382324,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
69.0,masters_degree,male,hispanic,75k_85k,not_working_retired,no,married,once_a_month_or_less,never,2_times,43.5,2.0,better_than_before,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
64.0,7th_8th_grade,female,white,10k_12k,not_working_retired,no,not_married,2_to_3_times_a_month,less_than_once_a_month,1_time,1.33333337306976,2.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
41.0,12th_nodiploma,male,white,12k_15k,working_paid_employee,no,not_married,once_a_month_or_less,less_than_once_a_month,1_time,6.33333349227905,3.0,better_than_before,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
55.0,some_college,male,white,200k_250k,working_paid_employee,no,married,once_or_twice_a_week,less_than_once_a_month,3_times,32.5,5.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,mostly_agree,fair
57.0,associate_degree,female,white,100k_125k,working_paid_employee,no,married,once_a_month_or_less,a_few_times_a_week,2_times,6.0,2.0,worse_than_before,much_worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
45.0,bach_degree,female,white,over_250k,working_paid_employee,no,married,2_to_3_times_a_month,less_than_once_a_month,0_times,24.4166660308838,1.0,no_change,no_change,no,no,fully_vaccinated_no_booster,fully_vaccinated_no_booster,completely_agree,excellent
65.0,masters_degree,male,white,30k_35k,not_working_retired,no,married,once_a_month_or_less,less_than_once_a_month,0_times,42.75,3.0,no_change,no_change,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
65.0,bach_degree,male,other,125k_150k,not_working_retired,no,married,2_to_3_times_a_month,never,2_times,36.3333320617676,1.0,worse_than_before,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,poor
84.0,high_school_grad,male,white,60k_75k,not_working_retired,no,married,once_a_month_or_less,never,0_times,64.1666641235352,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,excellent
68.0,prof_doct_degree,male,white,175k_200k,working_paid_employee,no,married,once_a_month_or_less,never,0_times,27.0833339691162,2.0,no_change,no_change,no,yes,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,good
56.0,high_school_grad,male,white,100k_125k,working_paid_employee,no,married,once_or_twice_a_week,a_few_times_a_week,0_times,38.75,3.0,no_change,no_change,yes,yes,fully_vaccinated_no_booster,partially_vaccinated,completely_agree,good
63.0,high_school_grad,male,white,20k_25k,not_working_retired,no,married,once_a_month_or_less,never,7_or_more_times,45.6666679382324,2.0,no_change,worse,no,no,fully_vaccinated_and_booster,fully_vaccinated_and_booster,completely_agree,fair
